,name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,max_torq,torque_npm,predict
1999,Chevrolet,2012,64000,Diesel,Individual,Manual,First Owner,16.52,1991,123.7,5,2000.0,305.0,639713.5626950024
38,Honda,2018,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5,4600.0,145.0,838466.1439033946
385,Chevrolet,2016,110000,Diesel,Individual,Manual,Second Owner,18.2,1248,73.74,7,1750.0,172.5,433406.2979267889
5482,Tata,2014,50000,Petrol,Individual,Manual,Second Owner,17.57,1193,88.7,5,4000.0,140.0,281933.7114208379
8,Ford,2013,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,5,2000.0,160.0,306614.6954044029
3572,Maruti,2012,80000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5,2000.0,190.0,355239.5892812549
1365,Maruti,2000,50000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,2500.0,59.0,-32158.62682461273
5304,Renault,2018,30000,Petrol,Individual,Automatic,First Owner,24.04,999,67.0,5,4250.0,91.0,528003.4423404421
2630,Maruti,2017,10000,Petrol,Individual,Automatic,First Owner,23.95,998,67.1,5,3500.0,90.0,609963.2107512471
2879,Tata,2011,80000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7,2700.0,320.0,710229.5797413099
